ID,여정단계,화면,영역/컴포넌트,위치(파일:라인),문구유형,노출조건/트리거,"현재 문구 (ASIS)
250,8,룰렛,Roulette,components/room/Roulette.tsx:569,라벨,선택 벌칙 섹션,선택된 벌칙,,결정된 벌칙,,,
251,8,룰렛,Roulette(나가기),components/room/Roulette.tsx:589,확인다이얼로그,스핀 남음,룰렛 횟수가 아직 남았어요.,,결정할 벌칙이 아직 남았어요.,,,
252,8,룰렛,Roulette(나가기),components/room/Roulette.tsx:590,확인다이얼로그,나가기 설명,벌칙이 자동으로 결정돼요.,,벌칙이 자동으로 결정돼요.,,,
253,8,룰렛,Roulette(나가기),components/room/Roulette.tsx:599,버튼,취소,취소,,취소,,,
254,8,룰렛,Roulette(나가기),components/room/Roulette.tsx:607,버튼,나가기 처리 중,처리 중...,,처리 중...,,,
255,8,룰렛,Roulette(나가기),components/room/Roulette.tsx:607,버튼,나가기,나가기,,나가기,,,
256,9,통합결과,TotalResult,components/room/TotalResult.tsx:220,제목,헤더,통합 결과,,수감 결과,,,
257,9,통합결과,TotalResult,components/room/TotalResult.tsx:266,로딩,로딩,통합 결과를 불러오는 중...,,수감 결과 불러오는 중...,,,
258,9,통합결과,TotalResult,components/room/TotalResult.tsx:271,에러,로딩 실패,통합 결과를 불러오지 못했습니다.,,수감 결과를 불러오지 못했어요.,,,
259,9,통합결과,TotalResult,components/room/TotalResult.tsx:281,제목,완료 헤딩,모두 고생했어요!,,모두 고생했어요!,,,
260,9,통합결과,TotalResult,components/room/TotalResult.tsx:284,본문/설명,완료 부제,약속한 집중 시간을 완료했어요.,,약속한 수감 시간을 완료했어요.,,,
261,9,통합결과,TotalResult,components/room/TotalResult.tsx:290,라벨,통계,총 진행 시간,,총 수감 시간,수감시간 중 집중한 시간의 통계라 수정 필요해보입니다,,
262,9,통합결과,TotalResult,components/room/TotalResult.tsx:296,라벨,통계,완료한 반복,,완료한 반복 횟수,,,
263,9,통합결과,TotalResult,components/room/TotalResult.tsx:302,라벨,통계,벌칙 수행자,,벌칙 대상자,,,
264,9,통합결과,TotalResult,components/room/TotalResult.tsx:306,결과표시,벌칙 수행자 수,{penaltyMemberCount}명,{count},,,,
265,9,통합결과,TotalResult,components/room/TotalResult.tsx:313,라벨,순위 섹션,이탈 시간 순위,,이탈 시간 순위,,,
266,9,통합결과,TotalResult,components/room/TotalResult.tsx:357,배지,중도포기 멤버,중도 포기,,탈옥,,,
267,9,통합결과,TotalResult,components/room/TotalResult.tsx:374,라벨,섹션,멤버별 벌칙 결과,,수감자 별 벌칙 결과,,,
268,9,통합결과,TotalResult,components/room/TotalResult.tsx:430,결과표시,룰렛 진행 중,벌칙 뽑는 중,,벌칙 결정 중,,,
269,9,통합결과,TotalResult,components/room/TotalResult.tsx:431,결과표시,벌칙 수,벌칙 {totalCount}개,{count},,,,
270,9,통합결과,TotalResult,components/room/TotalResult.tsx:446,본문/설명,룰렛 진행 중,벌칙을 뽑고 있어요.,,벌칙을 결정하고 있어요.,,,
271,9,통합결과,TotalResult,components/room/TotalResult.tsx:467,빈상태,벌칙 멤버 없음,벌칙 결과가 없어요.,,벌칙 결과가 없어요.,,,
272,9,통합결과,TotalResult,components/room/TotalResult.tsx:233,버튼,계약서 보기,계약서 보기,,각서 확인하기,,,
273,9,통합결과,TotalResult,components/room/TotalResult.tsx:242,버튼,공유,공유하기,,수감 결과 공유하기,,,
274,9,통합결과,TotalResult,components/room/TotalResult.tsx:250,버튼,회원,마이페이지,,마이페이지,,,
275,9,통합결과,TotalResult,components/room/TotalResult.tsx:250,버튼,게스트,홈 화면으로 이동,,홈으로 이동,,,
276,9,통합결과,TotalResult,components/room/TotalResult.tsx:210,토스트/알림,URL 복사 성공,URL이 복사되었어요.,,방 주소가 복사되었어요.,,,
277,9,통합결과,TotalResult,components/room/TotalResult.tsx:212,토스트/알림,URL 복사 실패,URL 복사에 실패했습니다.,,방 주소 복사에 실패했어요.,,,
278,9,통합결과,TotalResult(계약서),components/room/TotalResult.tsx:496,제목,계약서 다이얼로그,{roomTitle}의 계약서,{roomTitle},{roomTitle}의 각서,,,
279,9,통합결과,TotalResult(계약서),components/room/TotalResult.tsx:499,본문/설명,계약서 설명(sr-only),"완료된 집중 세션에서 사용한 계약서의 타이머, 벌칙 목록, 벌칙 강도 설정을 확인할 수 있습니다.",,,접근성 전용,,
280,9,통합결과,TotalResult(계약서),components/room/TotalResult.tsx:507,라벨,섹션,타이머,,시간 설정,,,
281,9,통합결과,TotalResult(계약서),components/room/TotalResult.tsx:510,라벨,항목,집중 시간,,집중 시간,,,
282,9,통합결과,TotalResult(계약서),components/room/TotalResult.tsx:516,라벨,항목,휴식 시간,,휴식 시간,,,
283,9,통합결과,TotalResult(계약서),components/room/TotalResult.tsx:522,라벨,항목,반복 횟수,,반복 횟수,,,
284,9,통합결과,TotalResult(계약서),components/room/TotalResult.tsx:531,라벨,섹션,벌칙 목록,,벌칙 목록,,,
285,9,통합결과,TotalResult(계약서),components/room/TotalResult.tsx:545,빈상태,벌칙 없음,벌칙 목록이 없습니다.,,벌칙 목록이 없어요.,,,
286,9,통합결과,TotalResult(계약서),components/room/TotalResult.tsx:552,라벨,섹션,벌칙 강도,,벌칙 단계,,,
287,9,통합결과,TotalResult(계약서),components/room/TotalResult.tsx:574,빈상태,강도 없음,벌칙 강도 설정이 없습니다.,,벌칙 단계가 설정되지 않았어요.,,,
288,10,마이페이지,MyPage,app/mypage/page.tsx:172,제목,헤더,마이 페이지,,마이 페이지,,,
289,10,마이페이지,MyPage,components/mypage/MyPage.tsx:225,버튼,메인 링크,새로운 방 만들기,,새로운 방 만들기,,,
290,10,마이페이지,MyPage,components/mypage/MyPage.tsx:143,라벨,통계,참여한 방,,참여한 방,,,
291,10,마이페이지,MyPage,components/mypage/MyPage.tsx:149,라벨,통계,총 집중 시간,,총 집중 시간,,,
292,10,마이페이지,MyPage,components/mypage/MyPage.tsx:154,라벨,통계,총 이탈 시간,,총 이탈 시간,,,
293,10,마이페이지,MyPage,components/mypage/MyPage.tsx:258,제목,섹션,최근 참여 기록,,최근 참여 기록,,,
294,10,마이페이지,MyPage,components/mypage/MyPage.tsx:265,버튼,링크,전체 보기,,전체 보기,,,
295,10,마이페이지,MyPage,components/mypage/MyPage.tsx:274,빈상태,기록 없음,최근 참여 기록이 없습니다.,,최근 참여 기록이 없어요.,,,
296,10,마이페이지,MyPage(로그아웃),components/mypage/MyPage.tsx:283,제목,로그아웃 확인,로그아웃 하시겠어요?,,로그아웃 하시겠어요?,,,
297,10,마이페이지,MyPage(로그아웃),components/mypage/MyPage.tsx:285,본문/설명,로그아웃 확인,로그아웃하면 다시 로그인해야 합니다.,,(문구 제거),(문구 제거),,
298,10,마이페이지,MyPage(로그아웃),components/mypage/MyPage.tsx:294,버튼,로그아웃 취소,아니요,,아니요,,,
299,10,마이페이지,MyPage(로그아웃),components/mypage/MyPage.tsx:303,버튼,로그아웃 확인,네,,네,,,
300,10,마이페이지,MyPage,components/mypage/MyPage.tsx:78,에러,프로필 로드 실패,내 정보를 불러오지 못했습니다.,,정보를 불러오지 못했어요.,,,
301,10,마이페이지,MyPage,components/mypage/MyPage.tsx:100,에러,통계 로드 실패,마이페이지 정보를 불러오지 못했습니다.,,통계 정보를 불러오지 못했어요.,,,
302,10,마이페이지,MyPageSettings,components/mypage/MyPageSettings.tsx:33,버튼,설정 메뉴,프로필 수정,,프로필 수정,,,
303,10,마이페이지,MyPageSettings,components/mypage/MyPageSettings.tsx:44,버튼,설정 메뉴,로그아웃,,로그아웃,,,
304,11,프로필 수정,MyPageEdit,app/mypage/edit/page.tsx,제목,헤더,프로필 수정,,프로필 수정,,,
305,11,프로필 수정,MyPageEdit,components/mypage/MyPageEdit.tsx:164,버튼,헤더,회원 탈퇴,,회원 탈퇴,,,
306,11,프로필 수정,MyPageEdit,components/mypage/MyPageEdit.tsx:164,버튼,탈퇴 중,탈퇴 중...,,탈퇴 중...,,,
307,11,프로필 수정,MyPageEdit,components/mypage/MyPageEdit.tsx:175,버튼,CTA,저장하기,,저장하기,,,
308,11,프로필 수정,MyPageEdit,components/mypage/MyPageEdit.tsx:175,버튼,저장 중,저장 중...,,저장 중...,,,
309,11,프로필 수정,MyPageEdit,components/mypage/MyPageEdit.tsx:182,라벨,입력,내 닉네임,,내 닉네임,,,
310,11,프로필 수정,MyPageEdit,components/mypage/MyPageEdit.tsx:186,플레이스홀더,입력,닉네임을 입력해주세요,,새로운 닉네임을 입력해주세요.,,,
311,11,프로필 수정,MyPageEdit,components/mypage/MyPageEdit.tsx:194,유효성,최소 길이 미만,닉네임은 {MIN}자 이상 입력해주세요.,{min},닉네임은 {MIN}자 이상 입력해주세요.,,,
312,11,프로필 수정,MyPageEdit,components/mypage/MyPageEdit.tsx:206,본문/설명,이미지 선택,원하는 이미지를 선택해주세요.,,원하는 이미지를 선택해주세요.,,,
313,11,프로필 수정,MyPageEdit,components/mypage/MyPageEdit.tsx:115,토스트/알림,저장 성공,프로필이 저장되었습니다.,,프로필이 저장되었어요.,,,
314,11,프로필 수정,MyPageEdit,components/mypage/MyPageEdit.tsx:68,에러,프로필 로드 실패,프로필을 불러오지 못했습니다.,,프로필을 불러오지 못했어요.,,,
315,11,프로필 수정,MyPageEdit,components/mypage/MyPageEdit.tsx:80,에러,로드 실패 기본,불러오기에 실패했습니다.,,불러오기에 실패했어요.,,,
316,11,프로필 수정,MyPageEdit,components/mypage/MyPageEdit.tsx:139,에러,탈퇴 실패,회원 탈퇴에 실패했습니다.,,회원 탈퇴에 실패했어요.,,,
317,11,프로필 수정,MyPageEdit(탈퇴),components/mypage/MyPageEdit.tsx:220-221,제목,탈퇴 확인,회원 탈퇴하면 <br /> 집중했던 데이터가 사라집니다.,,회원 탈퇴하면 <br /> 데이터가 사라져요.,줄바꿈 2줄 · 원본 <br /> 유지,,
318,11,프로필 수정,MyPageEdit(탈퇴),components/mypage/MyPageEdit.tsx:223,본문/설명,탈퇴 확인,정말로 탈퇴하시겠어요?,,정말로 탈퇴하시겠어요?,,,
319,11,프로필 수정,MyPageEdit(탈퇴),components/mypage/MyPageEdit.tsx:231,버튼,탈퇴 확인,탈퇴,,탈퇴,,,
320,11,프로필 수정,MyPageEdit(탈퇴),components/mypage/MyPageEdit.tsx:231,버튼,탈퇴 진행,탈퇴 중...,,탈퇴 중...,,,
321,11,프로필 수정,MyPageEdit(탈퇴),components/mypage/MyPageEdit.tsx:239,버튼,탈퇴 취소,아니요,,아니요,,,
322,12,기록,MyPageHistory,components/mypage/MyPageHistory.tsx:107,제목,헤더,내 참여 기록,,전체 참여 기록,,,
323,12,기록,MyPageHistory,components/mypage/MyPageHistory.tsx:118,빈상태,기록 없음,참여 기록이 없습니다.,,참여 기록이 없어요.,,,
324,12,기록,MyPageHistory,components/mypage/MyPageHistory.tsx:118,로딩,초기 로딩,불러오는 중...,,불러오는 중...,,,
325,12,기록,MyPageHistory,components/mypage/MyPageHistory.tsx:58,에러,초기 로드 실패,참여 기록을 불러오지 못했습니다.,,불러오지 못했어요.,,,
326,12,기록,MyPageHistory,components/mypage/MyPageHistory.tsx:55,에러,추가 로드 실패,추가 기록을 불러오지 못했습니다.,,불러오지 못했어요.,,,
327,12,기록,MyPageHistory,components/mypage/MyPageHistory.tsx:132,버튼,재시도,다시 시도,,재시도 하기,,,
328,12,기록,MyPageHistoryList,components/mypage/MyPageHistoryList.tsx:73,본문/설명,참여자 수,참여 {memberCount}명,{count},,,,
329,12,기록,MyPageHistoryList,components/mypage/MyPageHistoryList.tsx:75,본문/설명,이탈 시간,내 이탈 {duration},{duration},,,,
330,13,서비스약관,LegalDocument,components/auth/LegalDocument.tsx:20,본문/설명,개정일,최종 개정일: {updatedAt},{date},,,,
331,13,서비스약관,termsContent,lib/termsContent.ts:17,제목,문서 제목,서비스 이용약관,,,법률 문서 톤 유지,,
332,13,서비스약관,termsContent,lib/termsContent.ts:20,제목,섹션,제1조 (목적),,,,,
333,13,서비스약관,termsContent,lib/termsContent.ts:26,제목,섹션,제2조 (정의),,,,,
334,13,서비스약관,termsContent,lib/termsContent.ts:34,제목,섹션,제3조 (약관의 효력 및 변경),,,,,
335,13,서비스약관,termsContent,lib/termsContent.ts:41,제목,섹션,제4조 (이용자의 의무),,,,,
336,13,개인정보,termsContent,lib/termsContent.ts:51,제목,문서 제목,개인정보 처리방침,,,법률 문서 톤 유지,,
337,13,개인정보,termsContent,lib/termsContent.ts:55,제목,섹션,1. 수집하는 개인정보 항목,,,,,
338,13,개인정보,termsContent,lib/termsContent.ts:63,제목,섹션,2. 개인정보의 수집 및 이용 목적,,,,,
339,13,개인정보,termsContent,lib/termsContent.ts:69,제목,섹션,3. 개인정보의 보유 및 이용 기간,,,,,
340,13,개인정보,termsContent,lib/termsContent.ts:76,제목,섹션,4. 개인정보의 파기,,,,,
341,99,개발용(룰렛),dev/roulette,app/dev/roulette/page.tsx:89,제목,개발 플레이그라운드,벌칙 룰렛 [테스트],,,개발용 화면(프로덕션 제외 검토),,
342,0,공통(PWA),manifest,app/manifest.ts:5,제목,앱 설치 이름,감옥 - 디지털 디톡스 타이머,,감옥 - 디지털 디톡스 스페이스,PWA name(브랜드),,
343,0,공통(PWA),manifest,app/manifest.ts:6,제목,앱 아이콘 이름,감옥,,감옥,PWA short_name(브랜드),,
344,0,공통(PWA),manifest,app/manifest.ts:7,본문/설명,앱 설명,"남들이 딴짓할 때, 우리는 서로를 가두고 집중한다.",,"딴짓하는 순간, 당신은 실패입니다. 가장 치열한 집중을 위한 효율적인 디지털 디톡스 타이머.",PWA description,,
345,4,방 입장,page metadata,app/room/[code]/page.tsx:11,제목,방 공유/탭 제목,방 입장하기 - {code} | 감옥,{code},방 입장하기 - {code} | 감옥,OG+탭 공유(11·14 동일),,
346,4,방 입장,page metadata,app/room/[code]/page.tsx:12,본문/설명,방 공유 설명,초대받은 방에 입장해서 함께 집중해보세요!,,초대받은 방에서 함께 집중해보세요!,12·15 동일,,
347,9,통합결과,page metadata,app/room/[code]/total-result/page.tsx:11,제목,결과 공유/탭 제목,통합 결과 - {code} | 감옥,{code},통합 결과 - {code} | 감옥,11·14 동일,,
348,9,통합결과,page metadata,app/room/[code]/total-result/page.tsx:12,본문/설명,결과 공유 설명,집중 세션 결과를 확인해보세요!,,수감 결과를 확인해보세요!,12·15 동일,,
349,9,통합결과(OG이미지),opengraph-image,app/room/[code]/total-result/opengraph-image.tsx:3,제목,공유 이미지 alt,통합 결과 | 감옥,,수감 결과 | 감옥,카톡/SNS 공유 미리보기,,
350,9,통합결과(OG이미지),opengraph-image,app/room/[code]/total-result/opengraph-image.tsx:72,제목,공유 이미지 제목,[{roomTitle}] 통합 결과,{roomTitle},[{roomTitle}] 수감 결과,,,
351,9,통합결과(OG이미지),opengraph-image,app/room/[code]/total-result/opengraph-image.tsx:72,제목,제목 폴백(방제목 없음),모두 고생했어요!,,모두 고생했어요!,화면과 동일 문구,,
352,9,통합결과(OG이미지),opengraph-image,app/room/[code]/total-result/opengraph-image.tsx:75,본문/설명,무이탈,이탈 유저가 아무도 없어요! 최고네요.,,이탈한 수감자가 아무도 없네요! 최고에요!,화면(중간결과)은 2문장 분리 → 표현 통일 검토,,
353,9,통합결과(OG이미지),opengraph-image,app/room/[code]/total-result/opengraph-image.tsx:75,본문/설명,기본,약속한 집중 시간을 완료했어요.,,약속한 수감 시간을 완료했어요.,,,
354,9,통합결과(OG이미지),opengraph-image,app/room/[code]/total-result/opengraph-image.tsx:93,라벨,요약,총 진행 시간,,총 수감 기간,화면과 동일,,
355,9,통합결과(OG이미지),opengraph-image,app/room/[code]/total-result/opengraph-image.tsx:98,라벨,요약,완료한 반복,,완료한 반복 횟수,,,
356,9,통합결과(OG이미지),opengraph-image,app/room/[code]/total-result/opengraph-image.tsx:103,라벨,요약,벌칙 수행자,,벌칙 대상자,,,
357,9,통합결과(OG이미지),opengraph-image,app/room/[code]/total-result/opengraph-image.tsx:104,결과표시,수행자 수,{penaltyCount}명,{count},,,,
358,9,통합결과(OG이미지),opengraph-image,app/room/[code]/total-result/opengraph-image.tsx:134,결과표시,포기자 표시,(포기),,(탈옥),화면은 '중도 포기' 배지 → 표현 통일 검토,,
359,9,통합결과(OG이미지),opengraph-image,app/room/[code]/total-result/opengraph-image.tsx:138,결과표시,벌칙 수,벌칙 {n}개,{count},,,,
360,4,방 입장,RoomLoading,components/room/RoomLoading.tsx:11,제목,로딩 기본 제목,방 입장하기,,방 입장하기,기본 prop(호출부 override 가능),,
361,4,방 입장,RoomLoading,components/room/RoomLoading.tsx:12,로딩,로딩 기본 메시지,방 정보를 불러오는 중...,,방 정보 불러오는 중...,기본 prop,,
362,4,방 입장,RoomNotFound,components/room/RoomNotFound.tsx:17,제목,404 헤더,방 입장하기,,방 입장하기,,,
363,4,방 입장,RoomNotFound,components/room/RoomNotFound.tsx:18,본문/설명,방 없음,존재하지 않거나 종료된 방이에요.,,존재하지 않거나 종료된 방이에요.,에러 상태(중요),,
364,4,방 입장,RoomNotFound,components/room/RoomNotFound.tsx:19,본문/설명,방 없음 안내,방 코드를 다시 확인해주세요.,,방 코드를 다시 확인해주세요.,,,
365,4,방 입장,RoomNotFound,components/room/RoomNotFound.tsx:42,버튼,홈 이동,홈으로,,홈으로 이동,,,
366,4,방 입장,SessionRestorer,components/room/SessionRestorer.tsx:76,확인다이얼로그,세션 복귀,진행 중인 집중 세션이 있습니다.,,수감 중인 방이 있어요.,재진입 복귀 안내,,
367,4,방 입장,SessionRestorer,components/room/SessionRestorer.tsx:77,확인다이얼로그,세션 복귀 설명,[{activeRoom.title}] 방으로 복귀하시겠습니까?,{title},[{activeRoom.title}] 방으로 복귀하시겠어요?,,,
368,4,방 입장,SessionRestorer,components/room/SessionRestorer.tsx:78,버튼,복귀,복귀하기,,(제거됨),제거,,
369,4,방 입장,SessionRestorer,components/room/SessionRestorer.tsx:79,버튼,무시,무시하기,,(제거됨),제거,,
370,5,공통(소켓),SocketContext,contexts/SocketContext.tsx:69,토스트/알림,방 미참여,방에 참여하지 않으셨습니다.,,방에 참여하지 않았어요.,소켓 에러(여러 화면 공유),,
371,5,공통(소켓),SocketContext,contexts/SocketContext.tsx:72,토스트/알림,이미 집중 단계,이미 집중 페이즈입니다.,,이미 진행 중인 방이예요.,페이즈' 외래어 순화 검토,,
372,5,공통(소켓),SocketContext,contexts/SocketContext.tsx:76,토스트/알림,종료된 방,이미 종료된 방입니다.,,이미 종료된 방이예요.,,,
373,5,공통(소켓),SocketContext,contexts/SocketContext.tsx:80,토스트/알림,중복 접속,다른 곳에서 접속했습니다.,,다른 환경에서의 로그인이 감지되었어요.,,,
374,5,공통(소켓),SocketContext,contexts/SocketContext.tsx:88,토스트/알림,방 종료(서버 사유 우선),방이 종료되었습니다.,{reason},방이 종료되었어요.,서버 reason 있으면 그 문구 우선 노출,,
375,5,공통(소켓),SocketContext,contexts/SocketContext.tsx:118,토스트/알림,강퇴,방장에 의해 강퇴되었습니다.,,방장에 의해 강퇴되었어요.,,,
376,0,공통,format(시간단위),lib/format.ts:9-11,결과표시,모든 소요시간 표기,{h}시간 {m}분 {s}초,{h/m/s},,formatDuration — 전 화면 공유 단위(시간/분/초),,